"","Municipio","Año","Especie","Animales Sembrados","Animales Cosechados","Peso Promedio","Producción","Precio Productor"
"71","Mistrató",2015,"TILAPIA O MOJARRA ROJA",21300,19170,300,5751,8500
"72","Mistrató",2015,"TILAPIA NEGRA",8800,7920,300,2376,8000
"73","Mistrató",2015,"TRUCHA",15500,13950,300,4185,12000
"74","Pereira",2015,"CACHAMA",30000,27000,600,16200,6500
"75","Pereira",2015,"CARPA",2200,2000,450,900,6000
"76","Pereira",2015,"TILAPIA O MOJARRA ROJA",1560000,1404000,320,449280,7200
"77","Pereira",2015,"MOJARRA CHITRALA",110000,93500,450,42075,7200
"78","Pueblo Rico",2015,"CACHAMA",9720,8750,400,3500,8500
"79","Pueblo Rico",2015,"TILAPIA O MOJARRA ROJA",2255,2030,280,568,8500
"80","Pueblo Rico",2015,"TILAPIA NEGRA",30415,27350,280,7658,8500
"81","Quinchia",2015,"CACHAMA",600,600,400,240,10000
"82","Quinchia",2015,"TILAPIA O MOJARRA ROJA",60000,50000,350,17500,8000
"83","Quinchia",2015,"TILAPIA NEGRA",44652,40200,350,14070,8000
"84","Quinchia",2015,"TRUCHA",1500,1350,250,338,10000
"85","Santa Rosa de C.",2015,"CARPA",1750,1575,400,630,6500
"86","Santa Rosa de C.",2015,"TILAPIA O MOJARRA ROJA",87430,78700,300,23610,7500
"87","Santa Rosa de C.",2015,"TILAPIA NEGRA",131145,118030,330,38950,7200
"88","Santa Rosa de C.",2015,"TRUCHA",1889300,1707840,450,768528,12000
"89","Santuario",2015,"TILAPIA O MOJARRA ROJA",142623,128360,300,38508,6800
"90","Santuario",2015,"TILAPIA NEGRA",4680,4212,320,1348,7500
"91","Santuario",2015,"TRUCHA",19250,17350,280,4858,11000
